	0	1	2	3
0	Adoration			
1	Z001 - 10,000 Reasons (Bless The Lord)	Bless the Lord O my soul 	73.0	[G]
2	D004 - Doxology	Praise Him all creatures here below	146.0	[G]
3	A005 - Agnus Dei	Alleluia, alleluia for the Lord God Almighty reigns	136.0	[A]
4	J003 - Jesus Messiah	He became sin who knew no sin		[G]
5	J007 - Jesus, Only Jesus	Who has the power to raise the dead	134.0	[C]
6	A012 - All I Really Want	Lord I love the way You love me  		[E]
7	A017 - All The Heavens	Holy, holy are You Lord		[C]
8	A022 - Amazed	You dance over me while I am unaware	147.0	[E]
9	O010 - One Thing	Single-minded  whole-hearted  one thing I ask		[D]
10	L006 - Let My Words Be Few	You are God in heaven 		[G]
11	G015 - Good Good Father	I've heard a thousand stories of what they think You're like	142.0	[G]
12	A023 - Amazing Grace (My Chains Are Gone)	Amazing Grace, how sweet the sound	126.0	[D]
13	A024 - Amazing Grace	Amazing Grace! How sweet the sound	145.0	[E]
14	A026 - As The Deer	As the deer panteth for the water		[C]
15	K001 - Kindness	Open up the    skies of mercy		[G]
16	J009 - Jesus We Enthrone You	Jesus, we enthrone You	134.0	[G]
17	J001 - Jesus At The Center	Jesus at the center of it all	129.0	[E]
18	J005 - Jesus Lover Of My Soul	It’s all about You,  Jesus		[D]
19	L011 - Lord Most High	From the ends of the earth (echo)		[E]
20	L013 - Lost In Wonder	You chose the cross with every breath 		[G]
21	B004 - Because He Lives	God sent His Son		[G]
22	B003 - Beauty For Ashes			[A]
23	G013 - God Of Wonders	 Lord of all creation  	161.0	[G]
24	M007 - Meet Us Here	Lord we have come to this house	105.0	[E]
25	M009 - Much Of You	How could I stand here and watch the sun rise		[Bb]
26	N003 - No Higher Calling	Down at Your feet, O Lord, is the most high place		[A]
27	G021 - Great Is The Lord	Great is the Lord most worthy of praise	74.1	[A]
28	P003 - Prepare The Way	Prepare the way		[D]
29	I015 - I Surrender All	All to Jesus I surrender	152.0	[D]
30	H028 - How Can I Keep From Singing	There is an endless song echoes in my soul I hear the music ring	199.0	[A]
31	B009 - Bless His Holy Name	And all that is within me		[E]
32	E007 - Everything	  With rain, with sun     With much, with less		[C]
33	F001 - Faithful Father	Father, I can’t explain this kind of love		[G]
34	Y010 - You're Worthy Of My Praise	"I will worship 	    with all of my heart"	96.5	[G]
35	H031 - How Great Thou Art	O Lord my God, when I in awesome wonder	132.0	[G]
36	H033 - How Marvelous	I stand amazed in the presence of	163.0	[G]
37	H012 - Here I Am To Worship	Light of the world You stepped down into darkness	144.0	[E, E]
38	I003 - I Can Only Imagine	I can only imagine what it will be like		[E]
39	I001 - I Adore	"  The universe is at Your feet			"		[E]
40	M014 - My Jesus I Love Thee	My Jesus, I love Thee I know Thou   are mine		[D]
41	H018 - Holy And Anointed One	Jesus, Jesus		[G]
42	S029 - The Steadfast Love	The steadfast love of the Lord never ceases		[D]
43	B011 - Blessed Assurance	Blessed assurance Jesus is mine	137.0	[C, C]
44	C003 - Captivate Us	Em  D  C   Bb  D/F# G		[G]
45	U002 - Unchanging	Great is Your faithfulness	106.0	[G]
46	I005 - I Could Sing Of Your Love Forever	Over the mountains and the sea,  Your river runs with love for me	90.0	[E]
47	I006 - I Exalt Thee	For Thou, O Lord, art high above all the earth		[D]
48	I008 - I Give You My Heart	This is my desire to honor You		[G]
49	I012 - I Offer My Life	All that I am, all that I have	142.0	[E]
50	I013 - I Stand In Awe	You are beautiful beyond description	140.0	[G]
51	W006 - We Exalt You	  As Your people we have gathered,   with the angels we praise   		[G]
52	W010 - We Will Worship The Lamb Of Glory	We will worship the Lamb of Glory		[E]
53	W012 - When I Think About The Lord	When I think about the Lord	107.0	[G]
54	W016 - Who You Are	   Your glory speaks in every language	152.0	[G]
55	W018 - Wide As The Sky	  Hands up hearts open wide as the sky 	132.0	[A]
56	I016 - I Want To Love You More	I want to love You more		[D]
57	I018 - I Will Offer Up My Life	I will offer up my life in spirit and truth		[D]
58	I019 - I'd Rather Have Jesus	I’d rather have Jesus than silver or gold	101.9	[C]
59	Y006 - You Are Holy (Prince Of Peace)	You are holy (echo), You are mighty (echo)	142.0	[E]
60	G002 - Give Thanks	Give thanks with a grateful heart	170.0	[E]
61	J012 - Jesus I Come	       	140.0	[D]
62	Y024 - Your Love Awakens Me	B /// | // C#m7 / | E /// | // F#sus /	101.0	[B]
63	U004 - Unstoppable God	D | Em7 | Csus2	132.0	[G]
64	Commitment & Dedication			
65	W004 - We Are The Free	We’re the forgiven singing redemption's song	145.0	[A]
66	I026 - In Your Freedom	I search for You God of strength 		[C]
67	A006 - Alabaster Jar	This alabaster jar is all I have of worth	144.0	[G]
68	A009 - All About You	A  E/G#  D	120.0	[A]
69	A014 - All Of My Days	Proclaim Your awesome power	164.0	[E]
70	A016 - All The Earth	Father, into Your courts I will enter		[B]
71	O010 - One Thing	Single-minded  whole-hearted  one thing I ask		[D]
72	J010 - Jesus You Alone	Jesus You alone shall be my first love, my first love	130.0	[A]
73	M002 - Madly	And I'm madly in love with You		[E]
74	K004 - Knowing You	All I once held dear, built my life upon		[C]
75	I025 - In The Secret	In the secret, in the quiet place	107.0	[G]
76	L008 - Lifesong	Empty Hands held high such a small sacrifice		[A]
77	O008 - One Desire	   You gave it all for me,    my soul desire my everything		[E]
78	O009 - One Pure And Holy Passion	Give me one pure and holy passion  		[C]
79	L009 - Light The Fire Again	Don’t let my love grow cold		[G]
80	L003 - Let It Be Jesus	Let it be Jesus      the first name that I call	68.0	[G]
81	O013 - One Way	I lay my life down at Your feet   You’re the only one I need	135.0	[B]
82	O014 - Only A God Like You	For the praises of man I will never stand	112.0	[G]
83	O015 - Only You	 Take my heart, I lay it down		[C]
84	L001 - Lay Me Down	With this heart open wide  	136.0	[C]
85	B001 - Be Thou My Vision	Be Thou my vision O Lord of my heart	170.0	[D]
86	M006 - Marvelous Light	 Into marvelous light I’m running	125.0	[A]
87	M009 - Much Of You	How could I stand here and watch the sun rise		[Bb]
88	E002 - Endless Light	From the highest throne to the earth below	121.5	[C]
89	N003 - No Higher Calling	Down at Your feet, O Lord, is the most high place		[A]
90	M010 - Multiply	 I don’t have much 		[G]
91	O023 - Overflow	Here I bring my stains and crowns		[G]
92	C017 - Cornerstone	 My hope is built on nothing less	148.0	[C]
93	E005 - Evermore	Lost for words with all to say		[G]
94	P002 - The Power Of Your Love	Lord I come to You, let my heart be changed, renewed		[G]
95	P005 - Psalm 19	May the words of my mouth		[C]
96	M013 - My Heart Is Yours	I give You my life 	144.0	[G]
97	R002 - Reaching For You	You created me inside Your great imagination	135.4	[A]
98	T017 - 'Til I See You	The greatest love that anyone could ever know		[E]
99	R004 - Reign In Us	You thought of us before the world began to breathe	144.0	[A]
100	R006 - Rise	 All the earth come alive, lift your eyes to the morning 		[A]
101	T019 - To Be Like You	Humble King, Holy One		[C]
102	R007 - Running	Ready at the line looking out, looking out to all that's ahead		[A]
103	T020 - To The Ends Of The Earth	Love unfailing   overtaking my heart    		[G]
104	Y010 - You're Worthy Of My Praise	"I will worship 	    with all of my heart"	96.5	[G]
105	Y012 - You Deserve	What is this love given to us	150.0	[G]
106	S020 - Step by Step	"O God You are my God	"		[G]
107	S022 - Stir In Me	"Stir in me a fire that the world cannot explain 		"	117.7	[F]
108	H009 - The Heart Of Worship	When the music fades, all is stripped away		[D]
109	H012 - Here I Am To Worship	Light of the world You stepped down into darkness	144.0	[E, E]
110	H034 - Humble King	Oh kneel me down again   here at Your feet		[D]
